id,title,rank,start_date,studio,mean,popularity,num_list_users,num_scoring_users,genres
50803,Jaku-Chara Tomozaki-kun 2nd Stage,4034,2024-01-03,Project No.9,7.05,2008,105177,31703,
3946,Jarinko Chie,4035,1981-04-11,Tokyo Movie Shinsha,7.05,8678,4626,1854,
2264,Jungle Taitei Movie (1997),4036,1997-08-01,Tezuka Productions,7.05,8770,4501,2028,
5978,Kannagi: Moshimo Kannagi ga Attara...,4037,2009-05-27,A-1 Pictures,7.05,3803,33909,18619,
3110,Kaze no Naka no Shoujo: Kinpatsu no Jeanie,4039,1992-10-15,Nippon Animation,7.05,9060,4054,1136,
34106,Kyoukai no Rinne 3rd Season,4039,2017-04-08,Brain's Base,7.05,4553,23014,7725,
1413,Lupin III: Alcatraz Connection,4040,2001-08-03,TMS Entertainment,7.05,7024,7889,3196,
872,Mahou Shoujo-tai Arusu,4041,2004-04-09,Studio 4°C,7.05,4023,30483,6662,
3356,Mahoutsukai Sally,4042,1966-12-05,Toei Animation,7.05,8639,4694,1373,
22071,Mikakunin de Shinkoukei: Mite. Are ga Watashitachi no Tomatteiru Ryokan yo.,4043,2014-03-19,Doga Kobo,7.05,3268,45372,24237,
30014,Momokuri,4045,2015-12-24,Satelight,7.05,1992,106203,39837,
49448,Ni Tian Zhizun,4045,2021-07-16,Suoyi Technology,7.05,10023,2920,735,
3059,Ninja Senshi Tobikage,4046,1985-10-06,Pierrot,7.05,8394,5065,1585,
32553,Nisekoi: OVA,4047,2016-01-04,Shaft,7.05,2095,98005,51864,
2570,Ochame na Futago: Claire Gakuin Monogatari,4048,1991-01-05,TMS Entertainment,7.05,9827,3130,1160,
6884,Ookami to Koushinryou II: Holo no Short Anime,4049,2009-10-07,Brain's Base,7.05,2789,61074,29148,
51368,Orient: Awajishima Gekitou-hen,4050,2022-07-12,A.C.G.T.,7.05,2974,54391,19731,
37826,Osake wa Fuufu ni Natte kara: Yuzu Atsukan,4051,2018-10-06,Creators in Pack,7.05,3856,33143,16100,
